setup_id,fold,trigger_date,exit_date,ticker,horizon_days,direction,option_type,strike,entry_underlying,exit_underlying,entry_iv,exit_iv,entry_option_price,exit_option_price,contracts,capital_allocated,pnl_dollars,pnl_pct
SETUP_0001,1,2018-05-03,2018-06-01,AMD US Equity,21,long,call,10.930000,10.930000,14.400000,5.000000,5.000000,8.620496,10.561712,11,10000.000000,2135.337182,0.213534
SETUP_0001,1,2018-05-03,2018-05-04,GOOGL US Equity,1,long,call,51.315000,51.315000,52.550000,5.000000,5.000000,40.472164,41.387648,2,10000.000000,183.096765,0.018310
SETUP_0001,1,2018-05-03,2018-06-01,TSLA US Equity,21,long,call,18.963300,18.963300,19.454700,5.000000,5.000000,14.956363,13.549927,6,10000.000000,-843.861868,-0.084386
SETUP_0001,1,2018-05-03,2018-05-04,XLK US Equity,1,long,call,66.360000,66.360000,67.620000,5.000000,5.000000,52.338162,53.220665,1,10000.000000,88.250310,0.008825
SETUP_0001,1,2018-05-04,2018-05-11,AAPL US Equity,5,long,call,45.957500,45.957500,47.147500,5.000000,5.000000,36.246701,36.423804,2,10000.000000,35.420538,0.003542
SETUP_0001,1,2018-05-04,2018-06-04,AMD US Equity,21,long,call,11.280000,11.280000,14.850000,5.000000,5.000000,8.896541,10.890180,11,10000.000000,2193.002570,0.219300
SETUP_0001,1,2018-05-04,2018-05-07,GOOGL US Equity,1,long,call,52.550000,52.550000,52.973000,5.000000,5.000000,41.446209,41.631477,2,10000.000000,37.053554,0.003705
SETUP_0001,1,2018-05-04,2018-06-04,TSLA US Equity,21,long,call,19.606000,19.606000,19.782700,5.000000,5.000000,15.463261,13.728076,6,10000.000000,-1041.111067,-0.104111
SETUP_0001,1,2018-05-04,2018-05-07,XLK US Equity,1,long,call,67.620000,67.620000,68.090000,5.000000,5.000000,53.331925,53.503962,1,10000.000000,17.203730,0.001720
SETUP_0001,1,2020-01-16,2020-01-23,AAPL US Equity,5,long,call,78.810000,78.810000,79.807500,5.000000,5.000000,62.157483,61.536580,1,10000.000000,-62.090293,-0.006209
SETUP_0001,1,2020-01-16,2020-02-14,AMD US Equity,21,long,call,49.770000,49.770000,55.310000,5.000000,5.000000,39.253622,39.191334,2,10000.000000,-12.457433,-0.001246
SETUP_0001,1,2020-01-16,2020-01-17,GOOGL US Equity,1,long,call,72.508000,72.508000,73.976000,5.000000,5.000000,57.187092,58.232944,1,10000.000000,104.585173,0.010459
SETUP_0001,1,2020-01-16,2020-02-14,TSLA US Equity,21,long,call,34.232700,34.232700,53.335300,5.000000,5.000000,26.999346,40.362381,3,10000.000000,4008.910520,0.400891
SETUP_0001,1,2020-01-16,2020-01-17,XLK US Equity,1,long,call,96.470000,96.470000,97.120000,5.000000,5.000000,76.085933,76.313040,1,10000.000000,22.710745,0.002271
SETUP_0001,1,2020-01-17,2020-01-24,AAPL US Equity,5,long,call,79.682500,79.682500,79.577500,5.000000,5.000000,62.845624,61.232066,1,10000.000000,-161.355737,-0.016136
SETUP_0001,1,2020-01-17,2020-02-17,AMD US Equity,21,long,call,50.930000,50.930000,55.310000,5.000000,5.000000,40.168514,39.000067,2,10000.000000,-233.689313,-0.023369
SETUP_0001,1,2020-01-17,2020-01-20,GOOGL US Equity,1,long,call,73.976000,73.976000,73.976000,5.000000,5.000000,58.344905,58.074066,1,10000.000000,-27.083870,-0.002708
SETUP_0001,1,2020-01-17,2020-02-17,TSLA US Equity,21,long,call,34.033300,34.033300,53.335300,5.000000,5.000000,26.842079,40.404512,3,10000.000000,4068.729801,0.406873
SETUP_0001,1,2020-01-17,2020-01-20,XLK US Equity,1,long,call,97.120000,97.120000,97.120000,5.000000,5.000000,76.598588,76.243015,1,10000.000000,-35.557282,-0.003556
SETUP_0001,1,2020-01-20,2020-01-27,AAPL US Equity,5,long,call,79.682500,79.682500,77.237500,5.000000,5.000000,62.845624,59.164696,1,10000.000000,-368.092781,-0.036809
SETUP_0001,1,2020-01-20,2020-02-18,AMD US Equity,21,long,call,50.930000,50.930000,56.890000,5.000000,5.000000,40.168514,40.354492,2,10000.000000,37.195680,0.003720
