setup_id,rank,sharpe_lb,sharpe_median,calmar,sortino,max_drawdown,support,annualized_return,volatility,first_trigger_date,last_trigger_date,sharpe_1d,sharpe_3d,sharpe_5d,sharpe_10d,sharpe_21d,description,signal_ids
SETUP_0003,1,3.5423,7.7435,42.8785,14.5303,-0.3693,253.0000,15.8339,0.3881,2021-01-07,2025-08-18,1.6966,3.5188,4.1375,6.1851,8.9530,BTC Index_frac_diff_px is_high AND JPM US Equity_frac_diff_px is_high,"SIG_00618, SIG_00366"
SETUP_0000,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,XLE US Equity_realized_vol_21d z_breakout_pos AND PEPS US Equity_frac_diff_px is_low,"SIG_00014, SIG_00508"
SETUP_0001,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,PEPS US Equity_frac_diff_px is_low AND XLE US Equity_realized_vol_21d z_breakout_pos,"SIG_00508, SIG_00014"
SETUP_0018,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,XLE US Equity_realized_vol_21d z_breakout_pos AND PEPS US Equity_frac_diff_px is_low,"SIG_00014, SIG_00508"
SETUP_0019,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,XLE US Equity_realized_vol_21d z_breakout_pos AND PEPS US Equity_frac_diff_px is_low,"SIG_00014, SIG_00508"
SETUP_0020,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,PEPS US Equity_frac_diff_px is_low AND XLE US Equity_realized_vol_21d z_breakout_pos,"SIG_00508, SIG_00014"
SETUP_0021,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,PEPS US Equity_frac_diff_px is_low AND XLE US Equity_realized_vol_21d z_breakout_pos,"SIG_00508, SIG_00014"
SETUP_0022,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,PEPS US Equity_frac_diff_px is_low AND XLE US Equity_realized_vol_21d z_breakout_pos,"SIG_00508, SIG_00014"
SETUP_0023,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,XLE US Equity_realized_vol_21d z_breakout_pos AND PEPS US Equity_frac_diff_px is_low,"SIG_00014, SIG_00508"
SETUP_0024,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,PEPS US Equity_frac_diff_px is_low AND XLE US Equity_realized_vol_21d z_breakout_pos,"SIG_00508, SIG_00014"
