setup_id,rank,sharpe_lb,sharpe_median,sortino,calmar,max_drawdown,support,avg_return,volatility,description,signal_ids
SETUP_0074,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0075,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0067,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0076,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0068,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0061,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0066,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0065,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0064,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0063,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0062,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0078,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
